生<div class="hint">raw; uncooked; fresh; natural</div>,なま,raw; uncooked; fresh; natural,<ruby>彼<rt>かれ</rt></ruby>は <ruby>生<rt>なま</rt></ruby>の <ruby>魚<rt>さかな</rt></ruby>が <ruby>食<rt>た</rt></ruby>べられません。,He can't eat raw fish.
決心<div class="hint">decision; resolution</div>,けっしん,decision; resolution,<ruby>今度<rt>こんど</rt></ruby>こそタバコをやめる <ruby>決心<rt>けっしん</rt></ruby>をしました。,This time I'm determined to quit smoking.
泥<div class="hint">mud; slush</div>,どろ,mud; slush,<ruby>靴<rt>くつ</rt></ruby>が <ruby>泥<rt>どろ</rt></ruby>だらけになったよ。,My shoes were covered in mud.
注ぐ<div class="hint">to pour (into a container); to water (e.g. plants) | to flow into (e.g. a river)</div>,そそぐ,to pour (into a container); to water (e.g. plants) | to flow into (e.g. a river),みんなのグラスにジュースを <ruby>注<rt>そそ</rt></ruby>いだよ。,I poured juice into everyone's glass.
注文<div class="hint">order; request</div>,ちゅうもん,order; request,レストランでピザを <ruby>注文<rt>ちゅうもん</rt></ruby>しました。,I ordered pizza at the restaurant.
流行<div class="hint">fashion; fad</div>,りゅうこう,fashion; fad,このスタイルは <ruby>今年<rt>ことし</rt></ruby>の <ruby>流行<rt>りゅうこう</rt></ruby>です。,This style is in fashion this year.
涙<div class="hint">tears</div>,なみだ,tears,<ruby>母<rt>はは</rt></ruby>は <ruby>涙<rt>なみだ</rt></ruby>を <ruby>流<rt>なが</rt></ruby>していた。,My mother was crying.
深刻<div class="hint">serious; grave</div>,しんこく,serious; grave,これは <ruby>深刻<rt>しんこく</rt></ruby>な <ruby>問題<rt>もんだい</rt></ruby>です。,This is a serious problem.
減る<div class="hint">to decrease (in size or number); to diminish</div>,へる,to decrease (in size or number); to diminish,<ruby>体重<rt>たいじゅう</rt></ruby>がかなり <ruby>減<rt>へ</rt></ruby>りました。,I've lost a lot of weight.
温暖<div class="hint">warm; mild; temperate</div>,おんだん,warm; mild; temperate,この <ruby>地方<rt>ちほう</rt></ruby>は <ruby>温暖<rt>おんだん</rt></ruby>で <ruby>暮<rt>く</rt></ruby>らしやすいな。,The mild weather in this region makes it easy to live here.
満足<div class="hint">satisfaction; contentment; sufficient</div>,まんぞく,satisfaction; contentment; sufficient,<ruby>彼<rt>かれ</rt></ruby>は <ruby>結果<rt>けっか</rt></ruby>に <ruby>満足<rt>まんぞく</rt></ruby>したようです。,He seems to be satisfied with the result.
演奏<div class="hint">(musical) performance</div>,えんそう,(musical) performance,<ruby>彼女<rt>かのじょ</rt></ruby>のピアノの <ruby>演奏<rt>えんそう</rt></ruby>は <ruby>素晴<rt>すば</rt></ruby>らしいね。,Her piano performance is wonderful.
演技<div class="hint">acting; performance</div>,えんぎ,acting; performance,<ruby>彼女<rt>かのじょ</rt></ruby>の <ruby>演技<rt>えんぎ</rt></ruby>は <ruby>見事<rt>みごと</rt></ruby>だった。,Her acting was splendid.
激しい<div class="hint">intense; fierce; vehement</div>,はげしい,intense; fierce; vehement,<ruby>激<rt>はげ</rt></ruby>しい <ruby>雨<rt>あめ</rt></ruby>が <ruby>降<rt>ふ</rt></ruby>っています。,It's raining heavily.
無料<div class="hint">free; no charge</div>,むりょう,free; no charge,お <ruby>飲<rt>の</rt></ruby>み <ruby>物<rt>もの</rt></ruby>は <ruby>無料<rt>むりょう</rt></ruby>でございます。,Beverages are free of charge.
無視<div class="hint">disregarding; ignoring</div>,むし,disregarding; ignoring,<ruby>彼<rt>かれ</rt></ruby>の <ruby>意見<rt>いけん</rt></ruby>は <ruby>無視<rt>むし</rt></ruby>されたよ。,His opinion was disregarded.
無駄<div class="hint">uselessness; pointlessness</div>,むだ,uselessness; pointlessness,それは <ruby>時間<rt>じかん</rt></ruby>の <ruby>無駄<rt>むだ</rt></ruby>です。,It's a waste of time.
燃える<div class="hint">to burn</div>,もえる,to burn,<ruby>山<rt>やま</rt></ruby>が <ruby>燃<rt>も</rt></ruby>えています。,The mountain's on fire.
物理<div class="hint">physics</div>,ぶつり,physics,<ruby>彼<rt>かれ</rt></ruby>は <ruby>物理<rt>ぶつり</rt></ruby>を <ruby>専攻<rt>せんこう</rt></ruby>している。,He majors in physics.
犯人<div class="hint">criminal</div>,はんにん,criminal,あいつが <ruby>犯人<rt>はんにん</rt></ruby>です。,That guy's the criminal.
状態<div class="hint">current status; condition</div>,じょうたい,current status; condition,ここは <ruby>道<rt>みち</rt></ruby>の <ruby>状態<rt>じょうたい</rt></ruby>がとても <ruby>悪<rt>わる</rt></ruby>いです。,The road here is in a very bad condition.
独身<div class="hint">single; unmarried</div>,どくしん,single; unmarried,<ruby>私<rt>わたし</rt></ruby>の <ruby>兄<rt>あに</rt></ruby>はまだ <ruby>独身<rt>どくしん</rt></ruby>です。,My big brother's still single.
猿<div class="hint">monkey</div>,さる,monkey,<ruby>山<rt>やま</rt></ruby>で <ruby>猿<rt>さる</rt></ruby>の <ruby>親子<rt>おやこ</rt></ruby>を <ruby>見<rt>み</rt></ruby>ました。,I saw mother and child monkeys in the mountain.
現在<div class="hint">current; present time</div>,げんざい,current; present time,<ruby>現在<rt>げんざい</rt></ruby>の <ruby>気温<rt>きおん</rt></ruby>は３０ <ruby>度<rt>ど</rt></ruby>です。,The current temperature is 30 degrees.
現場<div class="hint">actual spot; actual site; shop/factory floor</div>,げんば,actual spot; actual site; shop/factory floor,<ruby>事故<rt>じこ</rt></ruby> <ruby>現場<rt>げんば</rt></ruby>には <ruby>入<rt>はい</rt></ruby>れません。,You can't enter the accident scene.
現実<div class="hint">reality; actuality</div>,げんじつ,reality; actuality,<ruby>現実<rt>げんじつ</rt></ruby>は <ruby>予想<rt>よそう</rt></ruby>より <ruby>厳<rt>きび</rt></ruby>しかった。,The reality was harsher than I expected.
球<div class="hint">sphere; (baseball) counter for balls</div>,きゅう,sphere; (baseball) counter for balls,<ruby>彼<rt>かれ</rt></ruby>は <ruby>球<rt>きゅう</rt></ruby> <ruby>技<rt>ぎ</rt></ruby>が <ruby>大好<rt>だいす</rt></ruby>きです。,He loves ball games.
理想<div class="hint">ideal</div>,りそう,ideal,<ruby>彼<rt>かれ</rt></ruby>は <ruby>高<rt>たか</rt></ruby>い <ruby>理想<rt>りそう</rt></ruby>をもっているの。,He has high ideals.
理解<div class="hint">understanding; comprehension</div>,りかい,understanding; comprehension,<ruby>理解<rt>りかい</rt></ruby>してくれてありがとう。,Thank you for your understanding.
生物<div class="hint">living thing; creature; life</div>,せいぶつ,living thing; creature; life,<ruby>海<rt>うみ</rt></ruby>の <ruby>底<rt>そこ</rt></ruby>には <ruby>不思議<rt>ふしぎ</rt></ruby>な <ruby>生物<rt>せいぶつ</rt></ruby>がたくさんいるよ。,There are a lot of mysterious creatures at the bottom of the sea.
画家<div class="hint">painter</div>,がか,painter,この <ruby>絵<rt>え</rt></ruby>はスペインの <ruby>画家<rt>がか</rt></ruby>が <ruby>描<rt>か</rt></ruby>きました。,This picture was drawn by a Spanish painter.
異常<div class="hint">abnormality; strangeness</div>,いじょう,abnormality; strangeness,<ruby>今年<rt>ことし</rt></ruby>の <ruby>夏<rt>なつ</rt></ruby>は <ruby>異常<rt>いじょう</rt></ruby>な <ruby>暑<rt>あつ</rt></ruby>さですね。,It's unusually hot this summer.
発車<div class="hint">departure; leaving</div>,はっしゃ,departure; leaving,バスが <ruby>発車<rt>はっしゃ</rt></ruby>します。,The bus is leaving.
登山<div class="hint">mountain climbing</div>,とざん,mountain climbing,<ruby>夏休<rt>なつやす</rt></ruby>みには <ruby>家族<rt>かぞく</rt></ruby>で <ruby>登山<rt>とざん</rt></ruby>をします。,I go mountain climbing with my family during summer vacation.
盛り<div class="hint">height (e.g. of summer); prime (of one's life)</div>,さかり,height (e.g. of summer); prime (of one's life),あの <ruby>事故<rt>じこ</rt></ruby>が <ruby>起<rt>お</rt></ruby>こったのは <ruby>夏<rt>なつ</rt></ruby>の <ruby>盛<rt>さか</rt></ruby>りでした。,The accident took place in the middle of summer.
目的<div class="hint">goal; objective</div>,もくてき,goal; objective,<ruby>彼<rt>かれ</rt></ruby>が <ruby>来<rt>き</rt></ruby>た <ruby>目的<rt>もくてき</rt></ruby>が <ruby>分<rt>わ</rt></ruby>かりません。,I don't know the purpose of his visit.
真似<div class="hint">imitating; copying</div>,まね,imitating; copying,<ruby>娘<rt>むすめ</rt></ruby>はよく <ruby>私<rt>わたし</rt></ruby>の <ruby>真似<rt>まね</rt></ruby>をします。,My daughter often mimics me.
真剣<div class="hint">serious; earnest</div>,しんけん,serious; earnest,<ruby>彼<rt>かれ</rt></ruby>は <ruby>真剣<rt>しんけん</rt></ruby>に <ruby>話<rt>はなし</rt></ruby>を <ruby>聞<rt>き</rt></ruby>いていました。,He was listening attentively to the story.
確かめる<div class="hint">to check; to confirm</div>,たしかめる,to check; to confirm,<ruby>母<rt>はは</rt></ruby>はお <ruby>釣<rt>つ</rt></ruby>りを <ruby>確<rt>たし</rt></ruby>かめたの。,My mother checked the change.
確認<div class="hint">confirmation; verification</div>,かくにん,confirmation; verification,もう <ruby>一度<rt>いちど</rt></ruby>、 <ruby>予約<rt>よやく</rt></ruby>を <ruby>確認<rt>かくにん</rt></ruby>した。,I confirmed my reservation one more time.
禁煙<div class="hint">"No Smoking"; quitting smoking</div>,きんえん,"No Smoking"; quitting smoking,<ruby>彼<rt>かれ</rt></ruby>は <ruby>今<rt>いま</rt></ruby>、 <ruby>禁煙<rt>きんえん</rt></ruby>しています。,He's quit smoking now.
科目<div class="hint">(school) subject; curriculum</div>,かもく,(school) subject; curriculum,<ruby>今日<rt>きょう</rt></ruby>は３ <ruby>科目<rt>かもく</rt></ruby>のテストを <ruby>受<rt>う</rt></ruby>けたよ。,I took exams for three subjects today.
秘密<div class="hint">secret</div>,ひみつ,secret,これは <ruby>秘密<rt>ひみつ</rt></ruby>です。,This is a secret.
突然<div class="hint">abrupt; sudden; unexpected</div>,とつぜん,abrupt; sudden; unexpected,<ruby>彼<rt>かれ</rt></ruby>は <ruby>突然<rt>とつぜん</rt></ruby> <ruby>走<rt>はし</rt></ruby>り <ruby>出<rt>だ</rt></ruby>したのよ。,He started running all of a sudden.
管理<div class="hint">control; management (e.g. of a business)</div>,かんり,control; management (e.g. of a business),<ruby>彼女<rt>かのじょ</rt></ruby>が <ruby>私<rt>わたし</rt></ruby>のスケジュールを <ruby>管理<rt>かんり</rt></ruby>している。,She manages my schedule.
綿<div class="hint">cotton</div>,めん,cotton,<ruby>私<rt>わたし</rt></ruby>は <ruby>綿<rt>めん</rt></ruby>のシャツをよく <ruby>着<rt>き</rt></ruby>ます。,I wear cotton shirts a lot.
緊張<div class="hint">nervousness; stress</div>,きんちょう,nervousness; stress,<ruby>彼<rt>かれ</rt></ruby>は <ruby>緊張<rt>きんちょう</rt></ruby>していたな。,He was nervous.
縁<div class="hint">edge; rim</div>,ふち,edge; rim,グラスの <ruby>縁<rt>ふち</rt></ruby>に <ruby>口紅<rt>くちべに</rt></ruby>がついてしまった。,There is lipstick on the rim of the glass.
肌<div class="hint">skin</div>,はだ,skin,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>肌<rt>はだ</rt></ruby>がとても <ruby>白<rt>しろ</rt></ruby>いですね。,Her skin is very white.
胃<div class="hint">stomach</div>,い,stomach,<ruby>昨日<rt>きのう</rt></ruby>から <ruby>胃<rt>い</rt></ruby>が <ruby>痛<rt>いた</rt></ruby>い。,I've had a stomach ache since yesterday.
腰<div class="hint">lower back</div>,こし,lower back,<ruby>昨日<rt>きのう</rt></ruby>から <ruby>腰<rt>こし</rt></ruby>が <ruby>痛<rt>いた</rt></ruby>い。,I've had a pain in my lower back since yesterday.
自然<div class="hint">natural; nature</div>,しぜん,natural; nature,みんなで <ruby>自然<rt>しぜん</rt></ruby>を <ruby>守<rt>まも</rt></ruby>りましょう。,Let us all work together to protect nature.
舞台<div class="hint">stage (theatre)</div>,ぶたい,stage (theatre),その <ruby>物語<rt>ものがたり</rt></ruby>は <ruby>京都<rt>きょうと</rt></ruby>が <ruby>舞台<rt>ぶたい</rt></ruby>だ。,The story is set in Kyoto.
被害<div class="hint">damage; injury</div>,ひがい,damage; injury,<ruby>彼<rt>かれ</rt></ruby>の <ruby>家<rt>いえ</rt></ruby>は <ruby>台風<rt>たいふう</rt></ruby>の <ruby>被害<rt>ひがい</rt></ruby>にあったの。,His house was damaged in the typhoon.
裁判<div class="hint">trial; judgement</div>,さいばん,trial; judgement,<ruby>裁判<rt>さいばん</rt></ruby>の <ruby>様子<rt>ようす</rt></ruby>はテレビで <ruby>中継<rt>ちゅうけい</rt></ruby>されたわよ。,The trial was broadcasted live on television.
製品<div class="hint">manufactured goods; product</div>,せいひん,manufactured goods; product,<ruby>当社<rt>とうしゃ</rt></ruby>の <ruby>製品<rt>せいひん</rt></ruby>は３ <ruby>年間<rt>ねんかん</rt></ruby>の <ruby>保証<rt>ほしょう</rt></ruby>つきです。,Our products come with a three-year guarantee.
要求<div class="hint">demand; request; requirement</div>,ようきゅう,demand; request; requirement,<ruby>彼<rt>かれ</rt></ruby>は <ruby>私<rt>わたし</rt></ruby>の <ruby>要求<rt>ようきゅう</rt></ruby>にこたえた。,He fulfilled my needs.
親友<div class="hint">close friend</div>,しんゆう,close friend,<ruby>彼<rt>かれ</rt></ruby>は <ruby>私<rt>わたし</rt></ruby>の <ruby>親友<rt>しんゆう</rt></ruby>です。,He is my best friend.
観客<div class="hint">spectator</div>,かんきゃく,spectator,<ruby>観客<rt>かんきゃく</rt></ruby>は <ruby>興奮<rt>こうふん</rt></ruby>していたよ。,The spectators were excited.
